"CO_NCM";"CO_SH6";"NO_NCM_POR";"NO_NCM_ING"
"88061000";"880610";"Veículos aéreos (aeronaves) não tripulados, concebidos para o transporte de passageiros";"Unmanned aerial vehicles (aircraft), designed for the transport of passengers"
"19012090";"190120";"Outras misturas e pastas para a preparação de produtos de padaria, pastelaria e da indústria de bolachas e biscoitos, da posição 19.05";"Other mixtures and pastes for the preparation of bakery, pastry and biscuit products, of heading 19.05"
"19012020";"190120";"Massa para a preparação de pão, com adição de grãos ou sementes integrais, congelada";"Dough for preparing bread, with the addition of whole grains or seeds, frozen"
"7129020";"71290";"Alho";"Garlic"
"29333500";"293335";"Quinuclidin-3-ol";"Quinuclidin-3-ol"
"28439040";"284390";"Tricloreto de rutênio, em pó";"Ruthenium trichloride, powder"
"74061010";"740610";"Pós de cobre, de estrutura não lamelar, com um teor, em peso, de chumbo igual ou superior a 9,5 %, mas inferior ou igual a 25,0 % e de estanho igual ou superior a 1,75 %, mas inferior ou igual a 11,0 %, sem outros elementos";"Copper powder, non-lamellar in structure, with a lead content by weight of 9.5% or more but less than or equal to 25.0% and a tin content of 1.75% or more but less than or equal to 11.0%, without other elements."
"73063010";"730630";"Outros tubos soldados, de seção circular, de ferro ou aço não ligado, de diâmetro exterior igual a 22,25 mm, espessura igual a 2,64 mm e comprimento igual a 448,2 mm";"Other welded pipes, of circular cross-section, of iron or non-alloy steel, with an outside diameter of 22.25 mm, a thickness of 2.64 mm and a length of 448.2 mm."
"3091000";"30910";"Farinhas, pós e ""pellets"" de peixes, para alimentação humana";"Flours/meals/pellets of fish for human consumption"
"34049022";"340490";"Ceras preparadas à base de hidroxiestearil cetil éter";"Waxes prepared based on hydroxystearyl cetyl ether"
"59112090";"591120";"Gazes e telas para peneirar, mesmo confeccionadas, de outras matérias têxteis";"Gauzes and screens to drizzle, of oth.textile materials"
"59113100";"591131";"Tecidos e feltros, sem fim ou com dispositivos de união, dos tipos utilizados nas máquinas para fabricação de papel ou máquinas semelhantes (para obtenção de pasta de papel ou fibrocimento, por exemplo), de peso inferior a 650 g/m2";"Fabric and felt used in mach.f/prod.of paper w<650g/m2"
"59113200";"591132";"Tecidos e feltros, sem fim ou com dispositivos de união, dos tipos utilizados nas máquinas para fabricação de papel ou máquinas semelhantes (para obtenção de pasta de papel ou fibrocimento, por exemplo), de peso igual ou superior a 650 g/m2";"Fabric and felt used in mach.f/prod.of paper w>=650g/m2"
"59114000";"591140";"Tecidos filtrantes e tecidos espessos, compreendendo os de cabelo, dos tipos usados em prensas de óleo ou outros usos técnicos análogos";"Fabrics of filter/thick, used in oil presses, etc."
"51121100";"511211";"Tecidos de lã penteada ou de pelos finos penteados, que contenham pelo menos 85 %, em peso, de lã ou de pelos finos, de peso não superior a 200 g/m2";"Combed fabr.of wool/fine anim.hair(con>=85%), w<=200g/m2"
"51121910";"511219";"Outros tecidos de lã penteada, que contenham pelo menos 85 %, em peso, de lã";"Other fabrics of combed wool (cont>=85%)"
"48236000";"482360";"Bandejas, travessas, pratos, xícaras, etc,de papel/cartão";"Trays, dishes, plates, cups, etc.of paper/paperboard"
"48236100";"482361";"Bandejas, travessas, pratos, xícaras (chávenas), taças, copos e artigos semelhantes, de bambu";"Trays, dishes, plates, cups, etc.of bamboo"
